company,job_type,salary
"店司令,糖果世界,万轩金服,游否,杭州小算盘,尚善技术,掌盈金服,投这家金服公司,因学科技,车蚁金服,阿拉丁信息科技,云标天测,新异,人力窝,工信智创集团,融诺网,杭州凤尧信息,新异网络,车蚁金服,超韵科技,万轩金服,爱拼机,扳手网络,杭州朗目达,ALESSIO,钜舜管道,全球时刻,杭州神话,单元科技,麦睿科技",技术总监,24.57
"中控教仪,有理树金服,鼎鹏交通,皓创科技,江苏达科,天鸽集团,十禾科技,金柚科技,爱瑞科技,隽宝科技,钱粒科技,杭州安厨,风数机场云,空匠科技,环润科技,恒苍飞帆,浙江泊金科技有限公司,酒钥匙,浙江传丰,杭州安厨,万才科技,远算科技,他山网络,奇志信息科技,楚天鸿大,神造科技,淘顶网,捎货,雷鹿,亿尚智能",技术经理,19.75
"超瑞,泰瑞机器,杭州东程科技,哈智机器人有限公司,中恒电气,晨基住工,中恒云能源,天尚建筑,栋梁国际,杭州道捷,经纬股份,宇中高虹,汉林设计,马科文迪照明设计,浙理咨询,哈智机器人有限公司,浙大院,浙江贯通,电牛科技,微策,南都能源互联网,天马行空,万帮新能源,光影(中国),比格飞序,华飞智能,车纷享,盛达物联科技,光道照明,杭州天创环境有限公司",电气设计工程师,9.52
"杭州乐橙,利尔达,杭州古北电子,佳晔电子,联芸科技,rokid,普玄物联,杭州乐橙,艾罗网络能源技术,蘑菇物联,杭州乐橙,一钉科技,浙江省星炬科技有限公,涂鸦智能,友旺电子,东海旭日电子,凯视达,利尔达,必易微电子,联芸科技,东胜物联,涂鸦智能,DUSUN,艾罗网络能源技术,软库科技,英飞特电子,英飞特,利尔达,DUSUN,艾罗网络能源技术",FAE,10.80
"杭州天创环境有限公司,塔网科技,LHD,燕文物流,杭州厚成,浙江安控,坤时自动化,南都能源互联网,杭州踏浪,杭州华野,浙江启尔机电,光影(中国),新华建设,中控教仪,ICM,万帮新能源,J&S照明设计工作室,杭州佰凌智能,杭州聪敏伙伴网络科技,科聪科技,先临易加三维,驿公里,广厦建筑,杭州踏浪,大地建筑事务所,比格飞序,大远智慧,BIM建筑科技,超瑞,海康威视",电气工程师,7.88
"比格飞序,天辰称重,瑞彼加,纽顿科技,九阳,杭州晶控电子,恒达仪器,先临易加三维,健君医疗,广安电器,恒领科技,骑电单车,杭州威博,杭州骑客,梦栖教育,杭州踏浪,杭州卓光,通号万全,互灵物联,了凡科技,恒领科技,恒达仪器,铁牛集团-欧若拉,中传消防,杭州拓康,惠耳听力,杭州踏浪,非白,点厨科技,杭州富从",电子工程师,9.35
浙江华为,光网络工程师,11.50
"腾盛,浙江华为,浙江众盟,浙江华为,浙江华为",光传输工程师,12.70
"浙江华为,浙江众盟,浙江华为",光通信工程师,11.00
"坤业自动化设备,广东达安,大河云联,景唐通信,颐高智慧,阿里云,中时讯通信建设,杭州硕康科技有限公司,光芯科技,海康威视,大河云联,中安电子,瑞斯康达,天天快递,阿里巴巴集团,北京协英,DAHO,初灵信息300250",通信设备工程师,12.14
阿里巴巴集团,通信测试工程师,20.00
"浙江明讯,浙江华为,杭州罗万信息,杭州友华,浙江佳舜,VisionVera,北京协英,浙江华为,浙江华为,浙江华为,浙江华为,浙江华为,杭州罗万信息,浙江华为,杭州罗万信息,杭州友华,杭州友华,浙江华为",核心网工程师,12.86
"杭州友华,鼎通通信,中时讯通信建设,杭州罗万信息",通信项目经理,8.62
"广东达安,追源科技,广东达安,广东达安",通信项目专员,3.88
,通信标准化工程师,
"中恒电气,奥能电源,世导裕新,杭州力奥科技有限公司",通信电源工程师,8.88
"山科Seck,天马行空,晴光科技,杭州罗万信息,点厨科技,骑电单车,杭州数空科技有限公司,山科Seck,海康威视",无线射频工程师,13.44
"红松信息,宇脉科技,浙江华为,浙江联铁禾盛建设劳务,杭州华粹,浙江华为",有线传输工程师,9.67
"杭州友华,浙江佳舜,网易,网易杭州,杭州友华",电信交换工程师,12.00
"浙江华为,浙江佳舜,天舰股份,众马科技",电信网络工程师,9.25
"杭州友华,浙江众盟,浙江华为,中征通信,杭州实祥建设科技公司,广东达安,NOKIA,儒普通信,杭州友华,中时讯通信建设,浙江华为,杭州友华,宇脉科技,杭州友华,新尚人,浙江华为,浙江华为,江苏达科,宣景科技,卡跃科技,浙江华为,杭州斯凯网络,NOKIA,亿阳信通,浙医健,广脉,新尚人,杭州诚泰科技有限公司,中时讯通信建设,流量海科技",移动通信工程师,11.45
"新华三技术有限公司,杭州高节,杭州友华,浙江华为,浙江众盟,光曲智能,浙江广电发展,浙江华为,浙江华为,光曲智能,浙江众盟",数据通信工程师,11.36
"杭州航海仪器,NOKIA,IP光通信,杭州谷航科技",通信研发工程师,12.62
"中时讯通信建设,杭州友华,阿里云,天络科技,浙江华为,腾盛,欢乐飞机器人,杭州硕康科技有限公司,华用通信,杭州莱盛科技有限公司,中征通信,光曲智能,浙江华为,北京电旗,浙江华为,华信设计,中兴通讯,中兴通讯股份有限公司,七友通信,杭州索菲特,光曲智能",通信技术工程师,9.12
"地心引力,凯捷,梦启科技,店司令,浙江古川,奔展信息,青友汇,慧一舍游戏,卓梦芸创,智玩网络,云上科技,掌连信息科技,掌优科技,哲信信息,百泰控股,黑洞创意,熠宸信息,奔展信息,帅拓网络,淘顶网,皓创科技,年糕妈妈,资通科技,齐集科技,九懿科技,杭州金通科技,惠合,国羽银融,巨掌广告,纹乐",HTML5,12.97
"豆贝教育,码虫网络,红掌文化,阿拉丁信息科技,西界王公司,上海特资网络科技,魔数科技,向正科技,鼎易科技,跟屁虫影视,新盛蓝科技,阿拉丁信息科技,玄猫动画,游卡桌游,伊果教育科技,黑核互动,怀瑾文创,指悦网络科技有限公司,酷蜂科技,赢在影视,中承商贸,阿拉丁信息科技,掌霆互动,玩大网络,万核网络,奇奥吾得,圣图腾,杭州广域软件,数联中国,杭州菲助科技",Flash,9.42
"融都科技,杭州软通动力,杭州数澜科技有限公司,杭州同太科技有限公司,阿里巴巴集团,又拍云UPYUN,游鹿网络,奇志信息科技,铲屎官品牌管理,杭州麒云科技,上海特资网络科技,挖财,多清赢收,优黑,阿里巴巴集团,蜜糖公园,栗鼠科技,有赞,微策略,TELETRAAN,后发网络,浙江宇视科技,威岚科技,云兑信息技术,有赞,傲动网络,阿里巴巴集团,有赞,阿里巴巴集团,华为",Javascript,16.20
"上海屹通,蚂蚁金服,菜鸟,美因茨,双城科技,瑞友科技,杭州盈软科技有限公司,政采云,网易金融,鲁尔物联,星我智能科技有限公司,奔展信息,蚂蚁金服,华博特教育,蓝集科技,金爵实业,鸿泉物联网,PandaABC,纳车品,天邮科技,木链科技,鹭栖科技,嘉楠耘智,银盒宝成,蓝集科技,领图,桃子科技,杭州数澜科技有限公司,杭州海康威视,九仟科技",web前端,13.97
"承联通信,华飞智能,浙江宇视科技,浙江贯通,中电海康,南拓科技,rokid,杭州中芯微,美思特智能,承联通信,目博科技,海康威视,好络维,伽奈维医疗,三维通信,杭州妙联,小问智能科技,智波科技,rokid,三维通信",射频工程师,14.25
"沃朴物联科技,科德磁业,杭州永磁集团有限公司,先临三维,正品控,中威纺织,而然科技,欢乐飞机器人,浙江承谷,沃朴物联科技,杭州永磁集团有限公司,浙江承谷",材料工程师,9.54
"戈洛博,亿阳信通,纳西,天玑科技,坤时自动化,汇金智融,九陌科技,施强教育科技,校宝在线,好络维,上海天玑,省海洋技术与信息中心,壳牌浙江,会友科技,杭州强牛,汇金智融,杭州罗万信息,阿拉丁信息科技,坤时自动化,买手互动文化传媒,美国道富,网新博创,汇金智融,浙江佳舜,匡信科技,驰骋知识产权,卓层电商,浙江执御,南江机器人,艺路向东",项目助理,6.12
"热讯,中著信息,中科天翔,鲁尔物联,卖好车,校宝在线,上海懿纯教育有限公司,恒领科技,杭州贝努鸟,大搜车,杭州诚泰科技有限公司,品由网络,润格木业,建设数字,赛加得传感器,杭州聪敏伙伴网络科技,浙商期货,旺景电器,杭州百旺金赋,杭州心景科技有限公司,杭州智培,树人广告,杭州畅禾,大搜车,城园汇,浙江大船文化发展有限,颐和,校宝在线,葡萄科技,享趣智能",项目主管,9.53
"云沃客,e修鸽,仁润科技,好络维,杭州视在,微贷网,禾连健康,杭州海康威视,杭州洛可可,校宝在线,浙江宇视科技,匡信科技,杭州数澜科技有限公司,腾讯大浙网,海康威视,浙江贯通,戈洛博,企加云CRM,星杰国际,白小丁科技,杭州海康威视,杭州金毅科技,微医集团,贝贝网,杭州端点,南都能源互联网,浙江宇视科技,杭州伍方,杭州斯凯网络,禾连健康",项目经理,13.12
"和医源,徐娜拉电商,得图网络,导途吧,数腾科技,橙鹰,全知科技,阿里巴巴集团,蚂蚁金服,CityDO,麦歌算法,吉佩斯机器人,牛吧云播,派拉软件股份,很赞,蚂蚁金服,浙江宇视科技,蓝芯科技,捷尚视觉,数腾科技,景怡研究,兴业银行杭州分行,时间线科技,飞秒科技,杭州谷航科技,华为,垒亿资管,中天微,很赞,梧斯源",算法研究员,23.07
"数美科技,蚂蚁金服,小泰科技,壹点灵,潘帕斯,鑫合汇,杭州追灿科技,数美科技,新光互联,云标天测,数美科技,数美科技,数梦工场,华为,蚂蚁金服,华运智体,海康威视,壹点灵,阿里巴巴集团,阿里云,贝嘟科技,微医集团,派拉软件股份,阿里巴巴菜鸟,政采云,数梦工场,杭州海康威视,会搜科技股份有限公司,海康威视,阿里云",数据架构师,26.88
